managing_agency,fms_id,year-month_reported,total_budget,spend_to_date,spend_to_date_percent,budget_variance,budget_variance_percent
39,LQQA21CTQ,202305,2801000,0,0,1801000,1.801
39,LQQA21CTQ,202309,2801000,0,0,0,0
39,LQQBH-RES,202203,2800000,,,,
39,LQQBH-RES,202305,1000000,0,0,-1800000,-0.6428
39,LQQBH-RES,202309,2800000,0,0,1800000,1.8
39,LQQV-TECH,201902,200000,,,,
39,LQQV-TECH,202305,182000,0,0,-18000,-0.09
39,LQQV-TECH,202309,182000,0,0,0,0
39,LQRH-RENO,202104,15005000,,,,
39,LQRH-RENO,202305,15178000,0,0,173000,0.0115
39,LQRH-RENO,202309,15178000,0,0,0,0
39,LQSE-ROOF,201902,891000,,,,
39,LQSE-ROOF,202305,800000,0,0,-91000,-0.1021
39,LQSE-ROOF,202309,800000,0,0,0,0
39,LQSE-WIN,201902,891000,,,,
39,LQSE-WIN,202305,800000,0,0,-91000,-0.1021
39,LQSE-WIN,202309,800000,0,0,0,0
39,LQSHORTFA,202305,6000000,0,0,,
39,LQSHORTFA,202309,18640000,0,0,12640000,2.1066
39,LQSHRN-23,202305,14400000,0,0,,
39,LQSHRN-23,202309,14400000,0,0,0,0
39,LQSJ-INT,201902,15195000,,,,
39,LQSJ-INT,202305,14300000,0,0,-895000,-0.0589
39,LQSJ-INT,202309,13550000,0,0,-750000,-0.0524
39,LQSTW-RES,202309,2800000,0,0,,
39,LQSTWSOLR,201902,150000,,,,
39,LQSTWSOLR,202305,134000,0,0,-16000,-0.1066
39,LQSTWSOLR,202309,134000,0,0,0,0
39,LQSZ-RENO,201902,12095000,,,,
39,LQSZ-RENO,202305,21437000,0,0,9342000,0.7723
39,LQSZ-RENO,202309,20687000,0,0,-750000,-0.0349
39,LQWP-MASO,201902,350000,,,,
39,LQWP-MASO,202305,350000,0,0,0,0
39,LQWP-MASO,202309,350000,0,0,0,0
39,LQWP-TECH,201902,200000,,,,
39,LQWP-TECH,202305,144000,0,0,-56000,-0.28
39,LQWP-TECH,202309,144000,0,0,0,0
39,LQWSRN-23,202305,300000,0,0,,
39,LQWSRN-23,202309,300000,0,0,0,0
39,LQWS-TEEN,201902,150000,,,,
39,LQWS-TEEN,202305,134000,0,0,-16000,-0.1066
39,LQWS-TEEN,202309,134000,0,0,0,0
39,LQWSTTECH,201902,100000,,,,
39,LQWSTTECH,202305,44000,0,0,-56000,-0.56
39,LQWSTTECH,202309,44000,0,0,0,0
39,SANDYLQLS,201902,2963000,,,,
39,SANDYLQLS,202305,2963000,0,0,0,0
39,SANDYLQLS,202309,2963000,0,0,0,0
40,ACEDOE211,202309,4861472,0,0,,
40,SCACIP08,202309,4500000,1058405,0.2352,,
42,ACECUN211,202205,146000,,,,
42,ACECUN211,202305,146000,0,0,0,0
42,ACECUN211,202309,145776,0,0,-224,-0.0015
42,ACECUN212,202205,2383000,,,,
42,ACECUN212,202305,2383000,0,0,0,0
42,ACECUN212,202309,2382881,0,0,-119,0
42,ACECUN213,202205,153000,,,,
42,ACECUN213,202305,153000,0,0,0,0
42,ACECUN213,202309,152667,0,0,-333,-0.0021
42,ACECUN214,202205,1383000,,,,
42,ACECUN214,202305,1383000,0,0,0,0
42,ACECUN214,202309,1383851,0,0,851,0.0006
